Simulation Time,A,B,C,D,E,F,G,H,I,J
0.000000,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
1.000000,8855,9855,143,8998,2,13727,14727,6658,15385,3615
2.000000,8839,9839,160,8999,1,18605,19605,4075,17680,1320
3.000000,8870,9870,127,8997,3,21082,22082,2414,18496,504
4.000000,8866,9866,129,8995,5,22167,23167,1647,18814,186
5.000000,8863,9863,137,9000,0,22687,23687,1241,18928,72
6.000000,8870,9870,126,8996,4,22998,23998,984,18982,18
7.000000,8873,9873,125,8998,2,23034,24034,956,18990,10
8.000000,8840,9840,160,9000,0,23069,24069,927,18996,4
9.000000,8824,9824,172,8996,4,23045,24045,950,18995,5
10.000000,8848,9848,149,8997,3,23107,24107,890,18997,3
11.000000,8854,9854,146,9000,0,23093,24093,902,18995,5
12.000000,8822,9822,176,8998,2,23076,24076,922,18998,2
13.000000,8864,9864,133,8997,3,23031,24031,968,18999,1
14.000000,8860,9860,138,8998,2,23067,24067,931,18998,2
15.000000,8850,9850,150,9000,0,23062,24062,932,18994,6
16.000000,8877,9877,122,8999,1,23069,24069,926,18995,5
17.000000,8852,9852,148,9000,0,23103,24103,895,18998,2
18.000000,8852,9852,145,8997,3,23108,24108,887,18995,5
19.000000,8851,9851,145,8996,4,23076,24076,923,18999,1
20.000000,8853,9853,144,8997,3,23085,24085,912,18997,3
