Simulation Time,A,B,C,D,E,F,G,H,I,J
0.000000,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
1.000000,8850,9850,147,8997,3,13491,14491,6822,15313,3687
2.000000,8856,9856,141,8997,3,18520,19520,4121,17641,1359
3.000000,8864,9864,134,8998,2,21055,22055,2409,18464,536
4.000000,8852,9852,146,8998,2,22224,23224,1591,18815,185
5.000000,8825,9825,169,8994,6,22771,23771,1164,18935,65
6.000000,8848,9848,150,8998,2,22969,23969,1005,18974,26
7.000000,8880,9880,120,9000,0,23066,24066,922,18988,12
8.000000,8834,9834,163,8997,3,23030,24030,966,18996,4
9.000000,8837,9837,161,8998,2,23069,24069,925,18994,6
10.000000,8857,9857,141,8998,2,23066,24066,929,18995,5
11.000000,8833,9833,165,8998,2,23065,24065,930,18995,5
12.000000,8860,9860,139,8999,1,23046,24046,950,18996,4
13.000000,8837,9837,163,9000,0,23106,24106,888,18994,6
14.000000,8859,9859,139,8998,2,23095,24095,903,18998,2
15.000000,8843,9843,155,8998,2,23045,24045,955,19000,0
16.000000,8846,9846,149,8995,5,23077,24077,923,19000,0
17.000000,8865,9865,133,8998,2,23045,24045,953,18998,2
18.000000,8871,9871,128,8999,1,23099,24099,898,18997,3
19.000000,8871,9871,122,8993,7,23106,24106,893,18999,1
20.000000,8849,9849,148,8997,3,23055,24055,944,18999,1
