Simulation Time,A,B,C,D,E,F,G,H,I,J
0.000000,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
1.000000,8852,9852,148,9000,0,13664,14664,6675,15339,3661
2.000000,8843,9843,151,8994,6,18412,19412,4223,17635,1365
3.000000,8849,9849,147,8996,4,20989,21989,2489,18478,522
4.000000,8838,9838,160,8998,2,22171,23171,1634,18805,195
5.000000,8841,9841,155,8996,4,22731,23731,1201,18932,68
6.000000,8833,9833,165,8998,2,22946,23946,1028,18974,26
7.000000,8847,9847,150,8997,3,23011,24011,979,18990,10
8.000000,8858,9858,141,8999,1,23059,24059,938,18997,3
9.000000,8852,9852,145,8997,3,23043,24043,955,18998,2
10.000000,8837,9837,162,8999,1,23076,24076,920,18996,4
11.000000,8840,9840,157,8997,3,23035,24035,959,18994,6
12.000000,8835,9835,163,8998,2,23089,24089,907,18996,4
13.000000,8862,9862,136,8998,2,23113,24113,885,18998,2
14.000000,8841,9841,154,8995,5,23098,24098,899,18997,3
15.000000,8858,9858,141,8999,1,23022,24022,974,18996,4
16.000000,8869,9869,127,8996,4,23084,24084,916,19000,0
17.000000,8832,9832,167,8999,1,23096,24096,904,19000,0
18.000000,8826,9826,169,8995,5,23132,24132,864,18996,4
19.000000,8842,9842,154,8996,4,23062,24062,936,18998,2
20.000000,8864,9864,132,8996,4,23099,24099,900,18999,1
