Simulation Time,A,B,C,D,E,F,G,H,I,J
0.000000,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
1.000000,8871,9871,127,8998,2,13548,14548,6795,15343,3657
2.000000,8853,9853,145,8998,2,18476,19476,4209,17685,1315
3.000000,8853,9853,144,8997,3,20981,21981,2533,18514,486
4.000000,8842,9842,157,8999,1,22158,23158,1646,18804,196
5.000000,8850,9850,148,8998,2,22659,23659,1269,18928,72
6.000000,8834,9834,166,9000,0,22907,23907,1064,18971,29
7.000000,8861,9861,138,8999,1,23022,24022,968,18990,10
8.000000,8852,9852,147,8999,1,23072,24072,921,18993,7
9.000000,8862,9862,138,9000,0,23034,24034,965,18999,1
10.000000,8839,9839,160,8999,1,23019,24019,976,18995,5
11.000000,8855,9855,142,8997,3,22987,23987,1011,18998,2
12.000000,8829,9829,168,8997,3,23048,24048,949,18997,3
13.000000,8853,9853,145,8998,2,23059,24059,937,18996,4
14.000000,8848,9848,150,8998,2,23117,24117,877,18994,6
15.000000,8848,9848,149,8997,3,23115,24115,878,18993,7
16.000000,8847,9847,152,8999,1,23104,24104,890,18994,6
17.000000,8858,9858,138,8996,4,23079,24079,917,18996,4
18.000000,8842,9842,155,8997,3,23084,24084,911,18995,5
19.000000,8857,9857,143,9000,0,23079,24079,916,18995,5
20.000000,8862,9862,135,8997,3,23079,24079,919,18998,2
